173.95.112.234,Spectrum Business,SonicWALL
40.137.136.37,Windstream Communications,Microsoft-IIS/7.5
173.95.112.155,Spectrum Business,
70.60.114.202,Spectrum Business,SonicWALL
68.115.187.188,Spectrum,Apache/2.4.18 (Ubuntu)
24.172.85.50,Spectrum Business,Microsoft-HTTPAPI/2.0
69.132.79.102,Spectrum,
70.63.100.213,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
24.199.213.18,Spectrum Business,Microsoft-IIS/10.0
71.75.191.78,Spectrum,DNVRS-Webs
173.95.112.222,Spectrum Business,
69.132.79.49,Spectrum,lighttpd/1.4.35
40.137.138.51,Windstream Communications,Boa/0.94.13
166.82.89.139,Windstream Communications,Microsoft-IIS/7.5
71.71.168.222,Spectrum,Microsoft-IIS/10.0
24.199.133.118,Spectrum Business,
166.82.89.144,Windstream Communications,lighttpd/1.4.35
166.82.89.41,Windstream Communications,GoAhead-Webs
24.199.240.161,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
71.75.176.132,Spectrum,
71.75.189.101,Spectrum,Boa/0.94.14rc21
70.63.99.145,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
71.75.181.165,Spectrum,
69.132.79.113,Spectrum,
70.62.91.157,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
152.27.54.34,North Carolina Research and Education Network,nginx/1.10.1
40.130.14.66,Windstream Communications,ADTRAN, Inc.
40.137.138.48,Windstream Communications,Boa/0.94.13
40.137.138.49,Windstream Communications,Boa/0.94.13
152.27.52.221,North Carolina Research and Education Network,Microsoft-IIS/10.0
166.82.93.128,Windstream Communications,
173.95.77.99,Spectrum Business,lighttpd
40.130.15.200,Windstream Communications,
70.61.100.229,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
152.27.54.31,North Carolina Research and Education Network,Apache
69.132.97.134,Spectrum,
68.115.187.82,Spectrum,SonicWALL
152.27.54.23,North Carolina Research and Education Network,
152.27.54.27,North Carolina Research and Education Network,Apache/2.2.22 (Debian)
152.27.54.29,North Carolina Research and Education Network,Microsoft-IIS/10.0
24.123.185.97,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
69.132.67.221,Spectrum,lighttpd/1.4.35
71.75.183.196,Spectrum,lighttpd/1.4.35
69.132.73.8,Spectrum,lighttpd/1.4.39
152.27.54.19,North Carolina Research and Education Network,Apache
74.218.226.77,Spectrum Business,DNVRS-Webs
71.75.186.188,Spectrum,
174.130.130.129,Windstream Communications,KS_HTTP/1.0
24.123.185.100,Spectrum Business,DNVRS-Webs
71.75.182.212,Spectrum,
71.31.65.127,Windstream Communications,Allegro-Software-RomPager/4.34
152.27.54.100,North Carolina Research and Education Network,Apache
69.132.69.109,Spectrum,
152.27.52.242,North Carolina Research and Education Network,Microsoft-IIS/8.5
71.71.168.172,Spectrum,
68.115.187.26,Spectrum,Boa/0.94.14rc21
74.218.251.162,Spectrum Business,SonicWALL
70.61.110.20,Spectrum Business,Quest Controls
152.27.54.206,North Carolina Research and Education Network,lighttpd/1.4.35
152.27.54.107,North Carolina Research and Education Network,Apache/2.4.7 (Ubuntu)
70.63.107.241,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
70.63.107.242,Spectrum Business,
152.27.54.7,North Carolina Research and Education Network,Apache/2.4.7 (Ubuntu)
166.82.95.230,Windstream Communications,Microsoft-IIS/8.5
70.60.121.1,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
68.115.187.30,Spectrum,SonicWALL
40.137.136.80,Windstream Communications,Microsoft-IIS/10.0
174.131.132.226,Windstream Communications,uhttpd/1.0.0
40.130.15.98,Windstream Communications,xxxxxxxx-xxxxx
69.132.97.165,Spectrum,
71.75.182.50,Spectrum,
166.82.90.234,Windstream Communications,Microsoft-IIS/7.5
166.82.93.170,Windstream Communications,micro_httpd
71.75.177.17,Spectrum,Boa/0.94.13
69.132.77.160,Spectrum,Boa/0.94.13
70.63.142.129,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
71.75.187.140,Spectrum,PRAVIS/1.0
152.27.54.224,North Carolina Research and Education Network,Microsoft-IIS/8.5
166.82.218.236,Windstream Communications,Microsoft-IIS/7.5
69.132.71.146,Spectrum,Apache
166.82.218.238,Windstream Communications,Apache
98.101.162.166,Spectrum Business,AOLserver/4.5.1
71.75.182.35,Spectrum,Apache
69.132.71.196,Spectrum,
24.172.118.173,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
71.71.169.73,Spectrum,Microsoft-IIS/6.0
69.132.68.76,Spectrum,
166.82.89.145,Windstream Communications,lighttpd/1.4.35
69.132.70.9,Spectrum,
69.132.68.2,Spectrum,
98.101.75.37,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
173.188.173.65,Windstream Communications,PRAVIS/1.0
166.82.218.230,Windstream Communications,Microsoft-HTTPAPI/2.0
68.115.187.194,Spectrum,nginx/1.8.0
166.82.218.232,Windstream Communications,
71.71.173.183,Spectrum,
69.132.79.236,Spectrum,nginx
71.75.188.52,Spectrum,PRAVIS/1.0
96.10.99.206,Spectrum Business,
68.115.187.214,Spectrum,Microsoft-IIS/8.5
152.27.52.223,North Carolina Research and Education Network,Microsoft-IIS/10.0
98.101.19.13,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
69.132.77.115,Spectrum,
71.71.172.0,Spectrum,dcs-lig-httpd
69.132.64.42,Spectrum,PRAVIS/1.0
69.132.72.157,Spectrum,alphapd
69.132.75.119,Spectrum,
66.57.102.237,Spectrum Business,DNVRS-Webs
71.75.178.140,Spectrum,
70.62.75.5,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
71.75.186.60,Spectrum,Boa/0.94.13
69.132.72.103,Spectrum,DNVRS-Webs
173.95.74.113,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
173.95.42.190,Spectrum Business,DNVRS-Webs
71.71.170.123,Spectrum,
166.82.218.235,Windstream Communications,Microsoft-IIS/7.5
152.27.54.202,North Carolina Research and Education Network,nginx
69.132.74.86,Spectrum,PRAVIS/1.0
152.27.52.56,North Carolina Research and Education Network,Microsoft-IIS/7.0
71.71.170.98,Spectrum,
152.27.54.106,North Carolina Research and Education Network,Apache/2.4.18 (Ubuntu)
98.101.73.108,Spectrum Business,lighttpd/1.4.35
152.27.54.42,North Carolina Research and Education Network,
71.75.181.76,Spectrum,lighttpd/1.4.35
98.101.83.210,Spectrum Business,SonicWALL
69.132.67.158,Spectrum,lighttpd/1.4.35
68.115.187.206,Spectrum,cisco-IOS
166.82.89.146,Windstream Communications,lighttpd/1.4.35
69.132.77.230,Spectrum,
70.61.115.217,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
198.24.86.165,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
40.137.138.50,Windstream Communications,Boa/0.94.13
71.71.172.106,Spectrum,uc-httpd 1.0.0
70.63.231.102,Spectrum Business,SonicWALL
173.95.2.233,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
70.63.225.157,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
152.27.54.200,North Carolina Research and Education Network,nginx
69.132.72.183,Spectrum,
68.115.187.35,Spectrum,mini_httpd/1.19 19dec2003
173.95.112.169,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
69.132.66.47,Spectrum,
173.95.112.145,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
69.132.70.167,Spectrum,
68.115.187.98,Spectrum,SonicWALL
166.82.218.227,Windstream Communications,
166.82.218.233,Windstream Communications,
69.132.79.104,Spectrum,Apache
69.132.74.64,Spectrum,
71.75.188.95,Spectrum,lighttpd/1.4.35
69.132.71.73,Spectrum,
71.75.182.66,Spectrum,PRAVIS/1.0
69.132.74.237,Spectrum,lighttpd/1.4.39
74.218.253.17,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
71.71.175.77,Spectrum,
98.101.128.129,Spectrum Business,UPnP/1.0 UPnP-Device-Host/1.0
